"","EventID","Metric","Value"
"140",5646,"MODTOL_SUM",29
"141",5646,"TOLBENT_NTAX",5
"142",5646,"TOLBENT_PROP",0.203846153846154
"143",5646,"TOLBENT_SUM",53
"144",5646,"TOTAL",260
"145",5648,"BENT_NTAX",13
"146",5648,"BENT_PROP",0.367875647668394
"147",5648,"BENT_SUM",142
"148",5648,"COTTID_NTAX",0
"149",5648,"COTTID_PROP",0
"150",5648,"COTTID_SUM",0
"151",5648,"CYPR_NTAX",10
"152",5648,"CYPR_PROP",0.652849740932642
"153",5648,"CYPR_SUM",252
"154",5648,"MODTOL_NTAX",3
"155",5648,"MODTOL_PROP",0.121761658031088
"156",5648,"MODTOL_SUM",47
"157",5648,"TOLBENT_NTAX",7
"158",5648,"TOLBENT_PROP",0.207253886010363
"159",5648,"TOLBENT_SUM",80
"160",5648,"TOTAL",386
"161",5652,"BENT_NTAX",10
"162",5652,"BENT_PROP",0.562189054726368
"163",5652,"BENT_SUM",113
"164",5652,"COTTID_NTAX",0
"165",5652,"COTTID_PROP",0
"166",5652,"COTTID_SUM",0
"167",5652,"CYPR_NTAX",8
"168",5652,"CYPR_PROP",0.73134328358209
"169",5652,"CYPR_SUM",147
"170",5652,"MODTOL_NTAX",3
"171",5652,"MODTOL_PROP",0.0348258706467662
"172",5652,"MODTOL_SUM",7
"173",5652,"TOLBENT_NTAX",5
"174",5652,"TOLBENT_PROP",0.467661691542289
"175",5652,"TOLBENT_SUM",94
"176",5652,"TOTAL",201
"177",5654,"BENT_NTAX",14
"178",5654,"BENT_PROP",0.422222222222222
"179",5654,"BENT_SUM",57
"180",5654,"COTTID_NTAX",0
"181",5654,"COTTID_PROP",0
"182",5654,"COTTID_SUM",0
"183",5654,"CYPR_NTAX",8
"184",5654,"CYPR_PROP",0.214814814814815
"185",5654,"CYPR_SUM",29
"186",5654,"MODTOL_NTAX",4
"187",5654,"MODTOL_PROP",0.303703703703704
"188",5654,"MODTOL_SUM",41
"189",5654,"TOLBENT_NTAX",6
"190",5654,"TOLBENT_PROP",0.222222222222222
"191",5654,"TOLBENT_SUM",30
"192",5654,"TOTAL",135
"193",5656,"BENT_NTAX",13
"194",5656,"BENT_PROP",0.6
"195",5656,"BENT_SUM",144
"196",5656,"COTTID_NTAX",0
"197",5656,"COTTID_PROP",0
"198",5656,"COTTID_SUM",0
"199",5656,"CYPR_NTAX",8
"200",5656,"CYPR_PROP",0.429166666666667
"201",5656,"CYPR_SUM",103
"202",5656,"MODTOL_NTAX",5
"203",5656,"MODTOL_PROP",0.225
"204",5656,"MODTOL_SUM",54
"205",5656,"TOLBENT_NTAX",5
"206",5656,"TOLBENT_PROP",0.291666666666667
"207",5656,"TOLBENT_SUM",70
"208",5656,"TOTAL",240
"209",5658,"BENT_NTAX",17
"210",5658,"BENT_PROP",0.479553903345725
"211",5658,"BENT_SUM",129
"212",5658,"COTTID_NTAX",0
"213",5658,"COTTID_PROP",0
"214",5658,"COTTID_SUM",0
"215",5658,"CYPR_NTAX",10
"216",5658,"CYPR_PROP",0.460966542750929
"217",5658,"CYPR_SUM",124
"218",5658,"MODTOL_NTAX",5
"219",5658,"MODTOL_PROP",0.211895910780669
"220",5658,"MODTOL_SUM",57
"221",5658,"TOLBENT_NTAX",8
"222",5658,"TOLBENT_PROP",0.263940520446097
"223",5658,"TOLBENT_SUM",71
"224",5658,"TOTAL",269
"225",5660,"BENT_NTAX",11
"226",5660,"BENT_PROP",0.486842105263158
"227",5660,"BENT_SUM",37
"228",5660,"COTTID_NTAX",0
"229",5660,"COTTID_PROP",0
"230",5660,"COTTID_SUM",0
"231",5660,"CYPR_NTAX",5
"232",5660,"CYPR_PROP",0.342105263157895
"233",5660,"CYPR_SUM",26
"234",5660,"MODTOL_NTAX",3
"235",5660,"MODTOL_PROP",0.157894736842105
"236",5660,"MODTOL_SUM",12
"237",5660,"TOLBENT_NTAX",5
"238",5660,"TOLBENT_PROP",0.302631578947368
"239",5660,"TOLBENT_SUM",23
"240",5660,"TOTAL",76
"241",5672,"BENT_NTAX",10
"242",5672,"BENT_PROP",0.586466165413534
"243",5672,"BENT_SUM",78
"244",5672,"COTTID_NTAX",0
"245",5672,"COTTID_PROP",0
"246",5672,"COTTID_SUM",0
"247",5672,"CYPR_NTAX",6
"248",5672,"CYPR_PROP",0.233082706766917
"249",5672,"CYPR_SUM",31
"250",5672,"MODTOL_NTAX",3
"251",5672,"MODTOL_PROP",0.203007518796992
"252",5672,"MODTOL_SUM",27
"253",5672,"TOLBENT_NTAX",6
"254",5672,"TOLBENT_PROP",0.233082706766917
"255",5672,"TOLBENT_SUM",31
"256",5672,"TOTAL",133
"257",5676,"BENT_NTAX",9
"258",5676,"BENT_PROP",0.5625
"259",5676,"BENT_SUM",99
"260",5676,"COTTID_NTAX",0
"261",5676,"COTTID_PROP",0
"262",5676,"COTTID_SUM",0
"263",5676,"CYPR_NTAX",7
"264",5676,"CYPR_PROP",0.556818181818182
"265",5676,"CYPR_SUM",98
"266",5676,"MODTOL_NTAX",3
"267",5676,"MODTOL_PROP",0.0625
"268",5676,"MODTOL_SUM",11
"269",5676,"TOLBENT_NTAX",5
"270",5676,"TOLBENT_PROP",0.488636363636364
"271",5676,"TOLBENT_SUM",86
"272",5676,"TOTAL",176
"273",5678,"BENT_NTAX",6
"274",5678,"BENT_PROP",0.48
"275",5678,"BENT_SUM",24
"276",5678,"COTTID_NTAX",0
"277",5678,"COTTID_PROP",0
"278",5678,"COTTID_SUM",0
"279",5678,"CYPR_NTAX",4
"280",5678,"CYPR_PROP",0.48
"281",5678,"CYPR_SUM",24
"282",5678,"MODTOL_NTAX",1
"283",5678,"MODTOL_PROP",0.06
"284",5678,"MODTOL_SUM",3
"285",5678,"TOLBENT_NTAX",4
"286",5678,"TOLBENT_PROP",0.38
"287",5678,"TOLBENT_SUM",19
"288",5678,"TOTAL",50
"289",5686,"BENT_NTAX",4
"290",5686,"BENT_PROP",0.428571428571429
"291",5686,"BENT_SUM",6
"292",5686,"COTTID_NTAX",0
"293",5686,"COTTID_PROP",0
"294",5686,"COTTID_SUM",0
"295",5686,"CYPR_NTAX",0
"296",5686,"CYPR_PROP",0
"297",5686,"CYPR_SUM",0
"298",5686,"MODTOL_NTAX",1
"299",5686,"MODTOL_PROP",0.0714285714285714
"300",5686,"MODTOL_SUM",1
"301",5686,"TOLBENT_NTAX",3
"302",5686,"TOLBENT_PROP",0.357142857142857
"303",5686,"TOLBENT_SUM",5
"304",5686,"TOTAL",14
"305",5692,"BENT_NTAX",11
"306",5692,"BENT_PROP",0.506666666666667
"307",5692,"BENT_SUM",190
"308",5692,"COTTID_NTAX",0
"309",5692,"COTTID_PROP",0
"310",5692,"COTTID_SUM",0
"311",5692,"CYPR_NTAX",8
"312",5692,"CYPR_PROP",0.573333333333333
"313",5692,"CYPR_SUM",215
"314",5692,"MODTOL_NTAX",4
"315",5692,"MODTOL_PROP",0.04
"316",5692,"MODTOL_SUM",15
"317",5692,"TOLBENT_NTAX",6
"318",5692,"TOLBENT_PROP",0.354666666666667
"319",5692,"TOLBENT_SUM",133
"320",5692,"TOTAL",375
