"EventID","Metric","Value"
5652,"CYPR_NTAX",8
5652,"CYPR_SUM",147
5652,"CYPR_PROP",0.73134328358209
5652,"MODTOL_NTAX",3
5652,"MODTOL_SUM",7
5652,"MODTOL_PROP",0.0348258706467662
5652,"TOLBENT_NTAX",5
5652,"TOLBENT_SUM",94
5652,"TOLBENT_PROP",0.467661691542289
5652,"COTTID_NTAX",0
5652,"COTTID_SUM",0
5652,"COTTID_PROP",0
5654,"TOTAL",135
5654,"BENT_NTAX",14
5654,"BENT_SUM",57
5654,"BENT_PROP",0.422222222222222
5654,"CYPR_NTAX",8
5654,"CYPR_SUM",29
5654,"CYPR_PROP",0.214814814814815
5654,"MODTOL_NTAX",4
5654,"MODTOL_SUM",41
5654,"MODTOL_PROP",0.303703703703704
5654,"TOLBENT_NTAX",6
5654,"TOLBENT_SUM",30
5654,"TOLBENT_PROP",0.222222222222222
5654,"COTTID_NTAX",0
5654,"COTTID_SUM",0
5654,"COTTID_PROP",0
5656,"TOTAL",240
5656,"BENT_NTAX",13
5656,"BENT_SUM",144
5656,"BENT_PROP",0.6
5656,"CYPR_NTAX",8
5656,"CYPR_SUM",103
5656,"CYPR_PROP",0.429166666666667
5656,"MODTOL_NTAX",5
5656,"MODTOL_SUM",54
5656,"MODTOL_PROP",0.225
5656,"TOLBENT_NTAX",5
5656,"TOLBENT_SUM",70
5656,"TOLBENT_PROP",0.291666666666667
5656,"COTTID_NTAX",0
5656,"COTTID_SUM",0
5656,"COTTID_PROP",0
5658,"TOTAL",269
5658,"BENT_NTAX",17
5658,"BENT_SUM",129
5658,"BENT_PROP",0.479553903345725
5658,"CYPR_NTAX",10
5658,"CYPR_SUM",124
5658,"CYPR_PROP",0.460966542750929
5658,"MODTOL_NTAX",5
5658,"MODTOL_SUM",57
5658,"MODTOL_PROP",0.211895910780669
5658,"TOLBENT_NTAX",8
5658,"TOLBENT_SUM",71
5658,"TOLBENT_PROP",0.263940520446097
5658,"COTTID_NTAX",0
5658,"COTTID_SUM",0
5658,"COTTID_PROP",0
5660,"TOTAL",76
5660,"BENT_NTAX",11
5660,"BENT_SUM",37
5660,"BENT_PROP",0.486842105263158
5660,"CYPR_NTAX",5
5660,"CYPR_SUM",26
5660,"CYPR_PROP",0.342105263157895
5660,"MODTOL_NTAX",3
5660,"MODTOL_SUM",12
5660,"MODTOL_PROP",0.157894736842105
5660,"TOLBENT_NTAX",5
5660,"TOLBENT_SUM",23
5660,"TOLBENT_PROP",0.302631578947368
5660,"COTTID_NTAX",0
5660,"COTTID_SUM",0
5660,"COTTID_PROP",0
5672,"TOTAL",133
5672,"BENT_NTAX",10
5672,"BENT_SUM",78
5672,"BENT_PROP",0.586466165413534
5672,"CYPR_NTAX",6
5672,"CYPR_SUM",31
5672,"CYPR_PROP",0.233082706766917
5672,"MODTOL_NTAX",3
5672,"MODTOL_SUM",27
5672,"MODTOL_PROP",0.203007518796992
5672,"TOLBENT_NTAX",6
5672,"TOLBENT_SUM",31
5672,"TOLBENT_PROP",0.233082706766917
5672,"COTTID_NTAX",0
5672,"COTTID_SUM",0
5672,"COTTID_PROP",0
5676,"TOTAL",176
5676,"BENT_NTAX",9
5676,"BENT_SUM",99
5676,"BENT_PROP",0.5625
5676,"CYPR_NTAX",7
5676,"CYPR_SUM",98
5676,"CYPR_PROP",0.556818181818182
5676,"MODTOL_NTAX",3
5676,"MODTOL_SUM",11
5676,"MODTOL_PROP",0.0625
5676,"TOLBENT_NTAX",5
5676,"TOLBENT_SUM",86
5676,"TOLBENT_PROP",0.488636363636364
5676,"COTTID_NTAX",0
5676,"COTTID_SUM",0
5676,"COTTID_PROP",0
5678,"TOTAL",50
5678,"BENT_NTAX",6
5678,"BENT_SUM",24
5678,"BENT_PROP",0.48
5678,"CYPR_NTAX",4
5678,"CYPR_SUM",24
5678,"CYPR_PROP",0.48
5678,"MODTOL_NTAX",1
5678,"MODTOL_SUM",3
5678,"MODTOL_PROP",0.06
5678,"TOLBENT_NTAX",4
5678,"TOLBENT_SUM",19
5678,"TOLBENT_PROP",0.38
5678,"COTTID_NTAX",0
5678,"COTTID_SUM",0
5678,"COTTID_PROP",0
5686,"TOTAL",14
5686,"BENT_NTAX",4
5686,"BENT_SUM",6
5686,"BENT_PROP",0.428571428571429
5686,"CYPR_NTAX",0
5686,"CYPR_SUM",0
5686,"CYPR_PROP",0
5686,"MODTOL_NTAX",1
5686,"MODTOL_SUM",1
5686,"MODTOL_PROP",0.0714285714285714
5686,"TOLBENT_NTAX",3
5686,"TOLBENT_SUM",5
5686,"TOLBENT_PROP",0.357142857142857
5686,"COTTID_NTAX",0
5686,"COTTID_SUM",0
5686,"COTTID_PROP",0
5692,"TOTAL",375
5692,"BENT_NTAX",11
5692,"BENT_SUM",190
5692,"BENT_PROP",0.506666666666667
5692,"CYPR_NTAX",8
5692,"CYPR_SUM",215
5692,"CYPR_PROP",0.573333333333333
5692,"MODTOL_NTAX",4
5692,"MODTOL_SUM",15
5692,"MODTOL_PROP",0.04
5692,"TOLBENT_NTAX",6
5692,"TOLBENT_SUM",133
5692,"TOLBENT_PROP",0.354666666666667
5692,"COTTID_NTAX",0
5692,"COTTID_SUM",0
5692,"COTTID_PROP",0
5694,"TOTAL",205
5694,"BENT_NTAX",9
5694,"BENT_SUM",80
5694,"BENT_PROP",0.390243902439024
5694,"CYPR_NTAX",6
5694,"CYPR_SUM",99
5694,"CYPR_PROP",0.482926829268293
5694,"MODTOL_NTAX",2
5694,"MODTOL_SUM",25
5694,"MODTOL_PROP",0.121951219512195
5694,"TOLBENT_NTAX",5
5694,"TOLBENT_SUM",67
5694,"TOLBENT_PROP",0.326829268292683
5694,"COTTID_NTAX",0
5694,"COTTID_SUM",0
5694,"COTTID_PROP",0
5696,"TOTAL",147
5696,"BENT_NTAX",10
5696,"BENT_SUM",63
5696,"BENT_PROP",0.428571428571429
5696,"CYPR_NTAX",6
5696,"CYPR_SUM",44
5696,"CYPR_PROP",0.299319727891156
5696,"MODTOL_NTAX",2
5696,"MODTOL_SUM",17
5696,"MODTOL_PROP",0.115646258503401
5696,"TOLBENT_NTAX",6
